name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Nini's Kitchen - Gandhinagar,"2nd Floor, Radhe Infinity, 212-215, Raksha Shakti Cir, Urjanagar 1, Randesan, Gandhinagar, Gujarat 382426",theyanki.com,088664 48288,,4.4,restaurant,,gandhinagar,gujarat,"2nd Floor, Radhe Infinity"
The Black Bird Cafe & Restaurant,"Swagat Holiday Mall Rd, Sargasan, Gandhinagar, Gujarat 382419",instagram.com,095742 09601,,4.4,restaurant,,gandhinagar,gujarat,"Swagat Holiday Mall Rd, Sargasan"
Kovallam Restaurant- The South Indian Kitchen,"Swagat Holiday Mall Rd, Sargasan, Gandhinagar, Gujarat 382419",instagram.com,095742 09601,,4.4,restaurant,,gandhinagar,gujarat,"Swagat Holiday Mall Rd, Sargasan"
The Seafood Lounge,"Shop no. 2&3, Pramukh Aayan, The Seafood Lounge, near Aashaka Hospital, opposite D-Mart, Sargasan, Gandhinagar, Gujarat 382419",theseafoodlounge.com,082004 33364,,4.1,restaurant,,gandhinagar,gujarat,"Shop no. 2&3, Pramukh Aayan"
Satkar Garden Restaurant & Banquet Hall,"Reliance Cross Rd, behind Suyash Elegance, Urjanagar 1, Kudasan, Gandhinagar, Gujarat 382419",satkarrestaurant.com,099786 10317,,4.3,restaurant,,gandhinagar,gujarat,"Reliance Cross Rd, behind Suyash Elegance"
Mirch Masala,"Super Mall 1, SUPER MALL-2, First floor, 104/118, DA IICT Rd, Infocity, Gandhinagar, Gujarat 382007",mirchmasala.co.in,099090 00731,,4.1,restaurant,,gandhinagar,gujarat,"Super Mall 1, SUPER MALL-2"
Pramukh dinning hall,"super mall, 1, Infocity Rd, near dwat restaurant, Infocity, Gandhinagar, Gujarat 382007",,099980 68100,,4.4,restaurant,,gandhinagar,gujarat,"super mall, 1"
1 Thali Garden Restaurant,"MOMAI GARDEN RESTAURANT, Rd, Gandhinagar Bypass Rd, nr. Shahpur Chokdi, nr. Mahakali Mata Temple, Gandhinagar, Gujarat 382355",,093288 09458,,3.9,restaurant,,gandhinagar,gujarat,"MOMAI GARDEN RESTAURANT, Rd"
Legends of Punjab KUDASAN GANDHI NAGAR,"Gandhinagar Bypass Rd, Urjanagar 1, Kudasan, Gandhinagar, Gujarat 382419",legendsofpunjab.com,097374 76100,,3.9,restaurant,,gandhinagar,gujarat,"Gandhinagar Bypass Rd, Urjanagar 1"
R-Andhra Cafe | Best south indian restaurant in Gandhinagar,"Shop No 10, Shopping Complex, SHALVIK SHUKAN, New, next to Suprime Smile Dental Clinik, near Vittal Party Plot, Vavol, Gandhinagar, Gujarat 382016",,098247 77123,,4.6,restaurant,,gandhinagar,gujarat,"Shop No 10, Shopping Complex"
Iscon Gathiya - Gandhinagar,"Sector 6, Gandhinagar, Gujarat 382006",iscongathiya.com,099797 03739,,4.4,restaurant,,gandhinagar,gujarat,"Sector 6, Gandhinagar"
7 Star Sandhya Tanu,"Reliance Cross Rd, opp. Kanam Greens Party Plot, Kudasan, Gandhinagar, Gujarat 382419",,098250 68282,,4.3,restaurant,,gandhinagar,gujarat,"Reliance Cross Rd, opp. Kanam Greens Party Plot"
1944 The Hocco Kitchen (Sargasan),"Second Floor, Shop no. 201, Pramukh Tangent, Gandhinagar Bypass Rd, Sargasan, Gandhinagar, Gujarat 382419",1944.in,091044 63897,,4.5,restaurant,,gandhinagar,gujarat,"Second Floor, Shop no. 201"
Bhagyoday Restaurant,"197, CHH Rd, Sector 21, Gandhinagar, Gujarat 382021",,097233 88440,,4.1,restaurant,,gandhinagar,gujarat,"197, CHH Rd"
The Leela Gandhinagar,"6JMH+FPQ, Sector 13C, Sector 13, Gandhinagar, Gujarat 382016",,,,4.7,restaurant,,gandhinagar,gujarat,"6JMH+FPQ, Sector 13C"
Sorath Restaurant (સોરઠ કાઠિયાવાડી ઝાયકો),"1ST Floor, Pramukh Mastana Complex, 118, Gandhinagar Bypass Rd, near Reliance Cross Road, Kudasan, Gandhinagar, Gujarat 382419",,084010 64646,,4.1,restaurant,,gandhinagar,gujarat,"1ST Floor, Pramukh Mastana Complex"
Rajwadi Bhojanalay,"GH 5 Road R World basement (bhoyrama, near max, Sector 16, Gandhinagar, Gujarat 382016",,088491 44617,,4.4,restaurant,,gandhinagar,gujarat,"GH 5 Road R World basement (bhoyrama, near max"
The Spicy Street,"Kudasan Rd, opp. Nagraj Party Plot, Kudasan, Gandhinagar, Gujarat 382419",,,,4.3,restaurant,,gandhinagar,gujarat,"Kudasan Rd, opp. Nagraj Party Plot"
RAJVEE FOOD CORNER,"Near, Shop No. 1, Ground Floor, Pratik Complex, Randesan Rd, Kudasan, Gandhinagar, Gujarat 382426",rajvee.in,095370 19001,,4.2,restaurant,,gandhinagar,gujarat,"Near, Shop No. 1"
Agana Restaurant & Banquet,"Keshvam Square, 101, SMVS hospital road, nr. Randesan Road, Theater, Randesan, Gandhinagar, Gujarat 382426",,099790 00468,,4.7,restaurant,,gandhinagar,gujarat,"Keshvam Square, 101"
Rajwadi Bhojnalay,"B-101,first floor, Acme House, Sector 6, Gandhinagar, Gujarat 382006",,,,4.1,restaurant,,gandhinagar,gujarat,"B-101,first floor"
SHAHI SIGDI RESTAURANT,"PDPU Rd, next to Shiva's cafe, Raysan, Gujarat 382030",,091576 14660,,4.3,restaurant,,gandhinagar,gujarat,"PDPU Rd, next to Shiva's cafe"
Gujarat Hotel (Gujarat Dhaba) ગુજરાત હોટલ,"Lavarpur, Gandhinagar Bypass Rd, near Gift city Circle, Shahpur, Gujarat 382355",instagram.com,099093 82891,,4.3,restaurant,,gandhinagar,gujarat,"Lavarpur, Gandhinagar Bypass Rd"
Class 43 Multi Cuisine Restaurant,"Pathikashram Nilaya, Sector 11, Gandhinagar, Gujarat 382010",,,,4.6,restaurant,,gandhinagar,gujarat,"Pathikashram Nilaya, Sector 11"
Eat Punjab,"First Floor, Radhe Infinity, Shop no, 103 & 104, Raksha Shakti Cir, Urjanagar -1, Randesan, Gandhinagar, Gujarat 382426",eatpunjab.in,091045 73837,,4.5,restaurant,,gandhinagar,gujarat,"First Floor, Radhe Infinity"
Gokul Dining Hall,"near Shalimar Cinema, Sector 16, Gandhinagar, Gujarat 382016",,099249 48628,,4.1,restaurant,,gandhinagar,gujarat,"near Shalimar Cinema, Sector 16"
Satadhar Bhojanalay,"near Shalimar Cinema, Sector 16, Gandhinagar, Gujarat 382016",,099249 48628,,4.1,restaurant,,gandhinagar,gujarat,"near Shalimar Cinema, Sector 16"
A-1 Punjabi & Chinese,"Cluster_gandhinagar 2 Block-11, 421, GH Rd, Sector 16, Gandhinagar, Gujarat 382016",,098245 17627,,3.8,restaurant,,gandhinagar,gujarat,"Cluster_gandhinagar 2 Block-11, 421"
"Sargasan, Gandhinagar","Pramukh 155,Ground Floor, Sargasan, Gandhinagar, Gujarat 382419",,,,4.5,restaurant,,gandhinagar,gujarat,"Pramukh 155,Ground Floor"
La Milano Pizzerria,"SKYLINE JK INFRA, Ground Floor ,, 1-2, CH Rd, Sector 11, Gandhinagar, Gujarat 382011",,082005 74449,,4.4,restaurant,,gandhinagar,gujarat,"SKYLINE JK INFRA, Ground Floor"
Blake Pepper Banquet,"Blake Pepper Triangle, Swagat Rainforest 1, C-110 to C-118, Ahmedabad - Gandhinagar Rd, Highway, Gandhinagar, Gujarat 382419",,099980 00188,,4.0,restaurant,,gandhinagar,gujarat,"Blake Pepper Triangle, Swagat Rainforest 1"
RASOI DINING HALL,"BASEMENT, B-12, HALL PRESIDENT COMPLEX, PLOT NO - 1, Sector 11, Gandhinagar, Gujarat 382010",,084695 24064,,4.8,restaurant,,gandhinagar,gujarat,"BASEMENT, B-12"
Jay Matarani Khana Khajana,"Super Mall, 1, Infocity Service Rd, Infocity, Gandhinagar, Gujarat 382007",bit.ly,,,4.1,restaurant,,gandhinagar,gujarat,"Super Mall, 1"
Maruti Gujarati Thali,"121, Infocity, Gandhinagar, Gujarat 382007",,096875 66258,,4.7,restaurant,,gandhinagar,gujarat,"121, Infocity"
Sardar Foods,"Shop No. 24, SUPER MALL-2, Infocity, Gandhinagar, Gujarat 382007",,084600 06280,,3.7,restaurant,,gandhinagar,gujarat,"Shop No. 24, SUPER MALL-2"
Girnar Kathiyawadi Restaurant,"5JR8+Q3W, Sargasan, Gandhinagar, Gujarat 382419",,097251 01404,,4.0,restaurant,,gandhinagar,gujarat,"5JR8+Q3W, Sargasan"
Mr Singh's Cafe,"Doubledaker, Sector 24, Gandhinagar, Gujarat 382016",,099795 56949,,4.7,restaurant,,gandhinagar,gujarat,"Doubledaker, Sector 24"
Patnagar Restaurant,"First Floor, Lal Bhuvan Complex, Plot No. 493/2, Sector 22, Gandhinagar, Gujarat 382021",,087807 29622,,4.9,restaurant,,gandhinagar,gujarat,"First Floor, Lal Bhuvan Complex"
Saurashtra A.C. Dining Hall,"Shop 44A, Supermall 1, near Monginis Cake, Infocity, Gandhinagar, Gujarat 382007",,063530 17381,,4.5,restaurant,,gandhinagar,gujarat,"Shop 44A, Supermall 1"
Pizza Zone Gandhinagar,"SHOP NO. - 10,11,12, PRAMUKH ARCADE - 2, Service Rd, near RELIANCE CIRCLE, Urjanagar 1, Kudasan, Gandhinagar, Gujarat 382419",pizzazone.co.in,073838 38660,,4.6,restaurant,,gandhinagar,gujarat,"SHOP NO. - 10,11"
Paradise Restaurant And Banquet,"Prayosha Complex, Opposite Tafe Tractor Showroom, Randheja Chokdi,Mansa Road, Gandhinagar, Gujarat 382610",,099798 83440,,4.2,restaurant,,gandhinagar,gujarat,"Prayosha Complex, Opposite Tafe Tractor Showroom"
NOOR Mahal Restaurant,"6MF6+J66, Sector 10B, Sector 10, Gandhinagar, Gujarat 382010",,,,4.7,restaurant,,gandhinagar,gujarat,"6MF6+J66, Sector 10B"
Shreeji Bhojnalay,"Shop No 15, super mall 1, Infocity, Gandhinagar, Gujarat 382007",,099240 27040,,4.2,restaurant,,gandhinagar,gujarat,"Shop No 15, super mall 1"
Namaste Nagher | The Kathiyawadi Taste,"Namste Nagher, Shalin Galleria Complex G - 37, RTO Road, G-1 sangit circle, Gandhinagar, Gujarat - 382002, Gandhinagar, Gujarat 382006",,090990 00661,,4.7,restaurant,,gandhinagar,gujarat,"Namste Nagher, Shalin Galleria Complex G - 37"
Citrus Junction,"The Leela Gandhinagar Sector-14 Airspace, state highway, off Ahmedabad, above Railway Stn, Gandhinagar, Gujarat 382014",theleela.com,074860 01171,,4.5,restaurant,,gandhinagar,gujarat,"The Leela Gandhinagar Sector-14 Airspace, state highway"
Asha delicious food | Non Veg Restaurant,"Shop No 001, Burj Mastan Society, New, Vavol, Gandhinagar, Gujarat 382007",,096380 89650,,4.8,restaurant,,gandhinagar,gujarat,"Shop No 001, Burj Mastan Society"
Mom's kitchen,"KH Rd, opposite Gate No 5, Temple GH4, Sector 13, Gandhinagar, Gujarat 382016",,088497 22165,,4.9,restaurant,,gandhinagar,gujarat,"KH Rd, opposite Gate No 5"
Tomato’s Gandhinagar,"FF101, 1st Floor, SUPER MALL-2, 0, Circle, near GH Road, Infocity, Gandhinagar, Gujarat 382006",,099099 21022,,4.2,restaurant,,gandhinagar,gujarat,"FF101, 1st Floor"
Banerjee's Alfa Restaurant,"shop 316, 317, Rear Shopping Center Rd, Old M.L.A.Quarters, Sector 17, Gandhinagar, Gujarat 382010",,079 2322 4240,,4.1,restaurant,,gandhinagar,gujarat,"shop 316, 317"
Diya,"The Leela Gandhinagar, Sector-14 Airspace, State Highway, off Ahmedabad, near KH Road, Gandhinagar, Gujarat 382014",theleela.com,074860 01170,,4.8,restaurant,,gandhinagar,gujarat,"The Leela Gandhinagar, Sector-14 Airspace"
"Dakshination (Kudasan, Gandhinagar)","135, Pramukh Mastana, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382007",,,,3.9,restaurant,,gandhinagar,gujarat,"135, Pramukh Mastana"
Jay Ambe Restaurant,"6JGW+XVG, Patnagar Yojna Bhavan, near Bank of India, Sector 16, Gandhinagar, Gujarat 382016",,099241 25424,,4.3,restaurant,,gandhinagar,gujarat,"6JGW+XVG, Patnagar Yojna Bhavan"
Bombay bliss,"Bhagat Singh Marg, opposite Aashka Multi-Speciality Hospital, near kameshwar international school, Sargasan, Gandhinagar, Gujarat 382419",,097767 30333,,4.8,restaurant,,gandhinagar,gujarat,"Bhagat Singh Marg, opposite Aashka Multi-Speciality Hospital"
Pathikashram Nilaya,"Pathikashram Nilaya, Nr S.T.Depo., GH-3 Circle, GH Rd, Sector 11, Gandhinagar, Gujarat 382007",pathikashram.in,097979 75050,,4.6,restaurant,,gandhinagar,gujarat,"Pathikashram Nilaya, Nr S.T.Depo."
SHREE FOOD POINT,"B-13 SWAGAT RAINFOREST-2 GROUN FLOOR, near K.T.M BIKE SERVICE CENTER, opp. SWAMINARAYANDHAM, Kudasan, Gandhinagar, Gujarat 382419",,,,4.8,restaurant,,gandhinagar,gujarat,"B-13 SWAGAT RAINFOREST-2 GROUN FLOOR, near K.T.M BIKE SERVICE CENTER"
