name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
The Hanger by Darshita,"Kotechanagar street no.5 corner Payal deri street, Kotecha Nagar Main Rd, opp. kitchen county, Rajkot, Gujarat 360001",,070165 25677,,4.8,shop,,rajkot,gujarat,"Kotechanagar street no.5 corner Payal deri street, Kotecha Nagar Main Rd"
"Pantaloons (Yagnik Road, Rajkot, Gujarat)","Ground Floor, First and Second Floor, Azzaro Square Complex, Dr Yagnik Rd, near Trikon Baug, beside Shell Petrol Pump, Rajputpara, Rajkot, Gujarat 360001",stores.pantaloons.com,082917 33541,,4.2,shop,,rajkot,gujarat,"Ground Floor, First and Second Floor"
"The Souled Store, Yagnik Road, Rajkot","Shop No 1, Jagdish Building, The Souled Store, Dr Yagnik Rd, opp. Hotel Bizz, Rajkot, Gujarat 360001",thesouledstore.com,,,4.7,shop,,rajkot,gujarat,"Shop No 1, Jagdish Building"
FirstCry.com Store Rajkot RK World Tower,"Shop No. G-04 and F-104, R K World Tower, 150 Feet Ring Rd, near Shital Park, Sheetal Park, Shastri Nagar, Chowk, Rajkot, Gujarat 360007",firstcry.com,097666 96539,,4.7,shop,,rajkot,gujarat,"Shop No. G-04 and F-104, R K World Tower"
Panorama Gift & Art Gallery,"Virani Chowk, Rama Krishan Nagar, Rajkot, Gujarat 360002",,096013 55130,,4.5,shop,,rajkot,gujarat,"Virani Chowk, Rama Krishan Nagar"
H Mart - Exclusive Store,"8QC8+PWF, Ayodhya Chowk, Vasundhara Omkar Society, Manharpura 1, Madhapar, Rajkot, Gujarat 360006",,,,4.2,shop,,rajkot,gujarat,"8QC8+PWF, Ayodhya Chowk"
ABC Season Store,"Patel Building, Street Number 20, New Jagnath, Jagnath Plot, Rajkot, Gujarat 360001",abcseasonstore.com,091739 94679,,4.9,shop,,rajkot,gujarat,"Patel Building, Street Number 20"
Sakhi - Ethenic Wear Kurtis Shop in Rajkot/Western Wear/Swim & Inner Wear/Night Wear for women/Maternity Wear Collection,"Sakhi, University Rd, Panchayat Chowk, Natraj Nagar, Rajkot, Gujarat 360005",sakhifashion.vyaparify.store,098252 66690,,5.0,shop,,rajkot,gujarat,"Sakhi, University Rd"
KOSHETO SPORTS/Sportswear Showroom/Sports Shoes/Sports Wearable Articles/Custom T-shirts Showroom,"Kishanpara Main Road, Gaurav Path, Rajkot, Gujarat 360001",,080000 10098,,4.7,shop,,rajkot,gujarat,"Kishanpara Main Road, Gaurav Path"
Iscon Prozone Mall Rajkot,"7QHG+V4F, 150 Feet Ring Rd, AP Park, Karan Park, Rajkot, Gujarat 360005",,,,3.9,shop,,rajkot,gujarat,"7QHG+V4F, 150 Feet Ring Rd"
Choose 'n' Buy Boutique,"Gayatri Commercial Complex, Dr Yagnik Rd, Rama Krishan Nagar, Rajkot, Gujarat 360001",,094277 28610,,3.8,shop,,rajkot,gujarat,"Gayatri Commercial Complex, Dr Yagnik Rd"
MR.DIY,"Crystal Mall, First Floor Unit Nos. 111 to 115, Kalavad Rd, Opp. Rani Tower, Rajkot, Gujarat 360005",mrdiy.com,1800 532 2829,,4.4,shop,,rajkot,gujarat,"Crystal Mall, First Floor Unit Nos. 111 to 115"
Vaishali Apparel,"Heera-Panna, Dr Yagnik Rd, Jagnath Plot, Rajkot, Gujarat 360001",,0281 246 7391,,4.3,shop,,rajkot,gujarat,"Heera-Panna, Dr Yagnik Rd"
Titan World,"Ground Floor, Holiday Business Circle, Near Kotecha Chowk, Kalavad Rd, near ICICI Bank, Nalanda Society, Rajkot, Gujarat 360001",titan.co.in,078258 93979,,4.8,shop,,rajkot,gujarat,"Ground Floor, Holiday Business Circle"
DMart,"40 Feet Main Rd, Rangila Park Society, Bhakti Nagar, Rajkot, Gujarat 360002",dmartindia.com,,,4.3,shop,,rajkot,gujarat,"40 Feet Main Rd, Rangila Park Society"
Malabar Gold and Diamonds - Rajkot - Gujarat,"Haribhai Hall, Ground and First Floor C.S NO.2392 C.S.W.NO.15 Bombay Corporate, Besides, Dr Yagnik Rd, near Ramkrushna ashram, Rajkot, Gujarat 360001",malabargoldanddiamonds.com,096338 64916,,4.8,shop,,rajkot,gujarat,"Haribhai Hall, Ground and First Floor C.S NO.2392 C.S.W.NO.15 Bombay Corporate"
Akshar Provision Store,"Mavdi Main Road, Vishweshwar Market, Uday Nagar, Rajkot, Gujarat 360004",,094274 97936,,4.2,shop,,rajkot,gujarat,"Mavdi Main Road, Vishweshwar Market"
iNext Apple Authorised Store Rajkot,"25, New Jagnath Rd, Astron Chowk, Sardarnagar, Rajkot, Gujarat 360001",,098244 65965,,4.5,shop,,rajkot,gujarat,"25, New Jagnath Rd"
UNO AROMA (PERFUME STORE) - Rajkot,"Shop No 8, Gr, Dhan Rajani, Complex, Dr Yagnik Rd, New Jagnath, Jagnath Plot, Rajkot, Gujarat 360001",unoaroma.com,095377 37740,,4.9,shop,,rajkot,gujarat,"Shop No 8, Gr"
SATYAM MART,"Street No. 6, Royal Park, Rajkot, Gujarat 360005",,097145 00018,,4.2,shop,,rajkot,gujarat,"Street No. 6, Royal Park"
Shree Ram Stores,"20, Star Shopping Centre, Street Number 20, New Jagnath, Jagnath Plot, Rajkot, Gujarat 360001",,093741 22330,,4.3,shop,,rajkot,gujarat,"20, Star Shopping Centre"
Shreenathji customise rajkot,"Online shopping only/pickup, Akashwani Chowk, Bhawani Nagar, Rajkot, Gujarat 360005",instagram.com,082381 48398,,4.8,shop,,rajkot,gujarat,"Online shopping only/pickup, Akashwani Chowk"
Titan World,"Shop No 1, Azzaro Square, Dr Yagnik Rd, beside Pantaloons, Trikon Baug, Rajputpara, Rajkot, Gujarat 360001",titan.co.in,089290 97488,,4.7,shop,,rajkot,gujarat,"Shop No 1, Azzaro Square"
✅ 𝗕𝗛𝗔𝗚𝗪𝗔𝗧𝗜 𝗝𝗘𝗪𝗘𝗟𝗦 - Exclusive Gift Shop in Rajkot | Gold Gift and Silver Gift | Unique Gift | Premium Gift Shop in Rajkot,"Diwanpara, 10, Nr, Soni Bazar, Rajkot, Gujarat 360001",bhagwatijewels.online,076000 10207,,5.0,shop,,rajkot,gujarat,"Diwanpara, 10"
The Body Shop,"S No RSM03, Gr Flr, Reliance Mega Mall, 150, Ring Rd Cir, Police Head Quarter, Rajkot, Gujarat 360005",stores.thebodyshop.in,095134 43977,,4.3,shop,,rajkot,gujarat,"S No RSM03, Gr Flr"
Mahavir Stores,"1,2, Sadguru Complex -1, Raiya Rd, Near Hanuman Mandi, Alkapuri, Chotu Nagar, Rajkot, Gujarat 360007",,0281 247 6537,,4.0,shop,,rajkot,gujarat,"1,2"
Rajkot Ravivari Market,"Doordarshan Kendra Colony, GIDC, Rajkot, Gujarat 360003",,,,4.0,shop,,rajkot,gujarat,"Doordarshan Kendra Colony, GIDC"
Kasturi Supermarket,"Akshar Marg, Panchvati Society, Kotecha Nagar, Rajkot, Gujarat 360001",,088660 01195,,4.4,shop,,rajkot,gujarat,"Akshar Marg, Panchvati Society"
The Raymond shop,"Ground Floor, Super Market, Tajawala, Sir Lakhajiraj Rd, near Bank of India, Lohana Para, Rajkot, Gujarat 360001",lohana-para.myraymond.com,080 4493 9158,,4.3,shop,,rajkot,gujarat,"Ground Floor, Super Market"
STAR SHOPPING CENTRE,"20, Dr Yagnik Rd, New Jagnath, Jagnath Plot, Rajkot, Gujarat 360001",,099256 73566,,4.0,shop,,rajkot,gujarat,"20, Dr Yagnik Rd"
AND Reliance Mall Rajkot,"Reliance Mall, Shop No 04, Ground Floor 150 Feet Ring road, Circle, Nana Mava, Rajkot, Gujarat 360005",andindia.com,095380 57474,,4.6,shop,,rajkot,gujarat,"Reliance Mall, Shop No 04"
"Right Marc : Personalized Gifts, T-shirts, Drinkware, Leather Wallet & Travel Essential - Perfect for Corporates","Bombay Housing Society, Sadhu Vasvani Rd, near Dholakiya School, Vishwakarma Society, Hari Nagar, Rajkot, Gujarat 360005",rightmarc.com,095102 34376,,4.9,shop,,rajkot,gujarat,"Bombay Housing Society, Sadhu Vasvani Rd"
Hem Vastra,"Dhebar chowk, Trikon Baugh, Rajkot, Gujarat 360001",,072280 90846,,4.4,shop,,rajkot,gujarat,"Dhebar chowk, Trikon Baugh"
"Pride for Men || Mens Wear Shop In Rajkot, Mens Clothing Store In Rajkot, Mens Ethnic Wear In Rajkot","Vishwas Arcade, Vishwas Arcade, 7 Kadiya Navline, Dharmendra Road, 6, Dharmendra Rd, Dela Vadi, Lohana Para, Rajkot, Gujarat 360001",,097279 74592,,4.6,shop,,rajkot,gujarat,"Vishwas Arcade, Vishwas Arcade"
