name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Koffee Stories | Ahmedabad,"G-6, Sun Avenue One, Manek Baug Rd, nr. Sun Prima, Bhudarpura, Shyamal, Ahmedabad, Gujarat 380006",linktr.ee,090238 39066,,4.4,cafe,,ahmedabad,gujarat,"G-6, Sun Avenue One"
Seva Cafe,"4th Floor Shopper's Plaza, Chimanlal Girdharlal Rd, opp. Municipal Market, Ahmedabad, Gujarat 380009",,075672 62737,,4.6,cafe,,ahmedabad,gujarat,"4th Floor Shopper's Plaza, Chimanlal Girdharlal Rd"
Java+,"Courtyard Marriott, Satellite Rd, Ramdev Nagar, Ahmedabad, Gujarat 380015",marriott.com,079 6618 5000,,4.3,cafe,,ahmedabad,gujarat,"Courtyard Marriott, Satellite Rd"
Brewers The Coffee Bar,"Central Business Space, A/1, opp. Sukhsagar Complex, nr. Fortune Landmark Hotel, Usmanpura, Ahmedabad, Gujarat 380009",,098245 49077,,4.6,cafe,,ahmedabad,gujarat,"Central Business Space, A/1"
Ritu's Cafe by TRC- eat fresh,"Sangath central food court b/h 4D squre mall, Motera, Ahmedabad, Gujarat 380005",,06355 977 539,,4.8,cafe,,ahmedabad,gujarat,"Sangath central food court b/h 4D squre mall, Motera"
Soul Square | Multicuisine Bistro and Cafe | Bodakdev Ahmedabad,"56, Rajpath, opposite Ahmedabad International School, Rowhouse, Bodakdev, Ahmedabad, Gujarat 380015",,098982 34228,,4.2,cafe,,ahmedabad,gujarat,"56, Rajpath"
Cafe Amul @ Bhat,"3JWH+JMM, Indira Brg, GIDC Bhat, Bhat, Ahmedabad, Gujarat 382428",amul.com,098246 60057,,4.2,cafe,,ahmedabad,gujarat,"3JWH+JMM, Indira Brg"
Shambhu's Coffee Bar,"H.L, Devangan Flats, 1-2, Commerce College Rd, New Commercial Mills Staff Society, Navrangpura, Ahmedabad, Gujarat 380006",shambhuscoffeebar.com,070960 40652,,4.1,cafe,,ahmedabad,gujarat,"H.L, Devangan Flats"
COFFEE STAND ®-CG Road,"Bhadra Raj Chambers, Swastik Char Rasta, Chimanlal Girdharlal Rd, Shrimali Society, Navrangpura, Ahmedabad, Gujarat 380009",coffeestand.in,097263 23358,,4.3,cafe,,ahmedabad,gujarat,"Bhadra Raj Chambers, Swastik Char Rasta"
COFFEE ByUs,"G-05, Madhav complex, IIM Rd, opp. Kia motors showroom, Ahmedabad, Gujarat 380015",,099794 43374,,4.6,cafe,,ahmedabad,gujarat,"G-05, Madhav complex"
Mleko,"5, Falgun Society, Near, Commerce Six Rd, Roop Nagar, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",,,,4.5,cafe,,ahmedabad,gujarat,"5, Falgun Society"
Cafe Creamoholic Motera,"Shop no 16 17, Ground, Aditya Avenue, near Krishna Bungalows-1, Motera, Ahmedabad, Gujarat 380005",,070693 93030,,4.5,cafe,,ahmedabad,gujarat,"Shop no 16 17, Ground"
Danny's Coffee bar,"7, K.D chamber, Commerce Six Rd, near Ishita Tower, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009",,098980 96932,,4.2,cafe,,ahmedabad,gujarat,"7, K.D chamber"
Cafe Piano,"TGB - The Grand Bhagwati Plot, 380, Sarkhej - Gandhinagar Hwy, near Gurudrawa, Bodakdev, Ahmedabad, Gujarat 380054",thegrandbhagwati.com,098790 00221,,4.2,cafe,,ahmedabad,gujarat,"TGB - The Grand Bhagwati Plot, 380"
