name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
Aagrah Restaurant,"Aagrah Restaurant, Shree Balaji Agora Mall 200 Ft. Ring Road,Between Tapovan and, Bhat Cir, Ahmedabad, Gujarat 382421",sbam.in,070460 35079,,4.1,restaurant,,ahmedabad,gujarat,"Aagrah Restaurant, Shree Balaji Agora Mall 200 Ft. Ring Road"
The Grand Thakar,"Aagrah Restaurant, Shree Balaji Agora Mall 200 Ft. Ring Road,Between Tapovan and, Bhat Cir, Ahmedabad, Gujarat 382421",sbam.in,070460 35079,,4.1,restaurant,,ahmedabad,gujarat,"Aagrah Restaurant, Shree Balaji Agora Mall 200 Ft. Ring Road"
Simran The Restaurant,"Mahaveer Marg, near lemon tree hotel, Opposite universal Honda service station, Old City, Khanpur, Ahmedabad, Gujarat 380001",,099786 60331,,4.4,restaurant,,ahmedabad,gujarat,"Mahaveer Marg, near lemon tree hotel"
Paramount Restaurant,"Mahaveer Marg, near lemon tree hotel, Opposite universal Honda service station, Old City, Khanpur, Ahmedabad, Gujarat 380001",,099786 60331,,4.4,restaurant,,ahmedabad,gujarat,"Mahaveer Marg, near lemon tree hotel"
Mrs Mage - Hyatt Ahmedabad,"Plot 216, Ground Floor Hyatt Ahmedabad Town Planning Road, Lake Scheme 1, near Vastrapur, Vastrapur, Ahmedabad, Gujarat 380015",,075750 02467,,4.5,restaurant,,ahmedabad,gujarat,"Plot 216, Ground Floor Hyatt Ahmedabad Town Planning Road"
Sankalp Restaurant,"3rd Floor, Samir Complex, Chimanlal Girdharlal Rd, opp. Municipal Market, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009",sankalprestaurants.com,079 2646 7550,,4.3,restaurant,,ahmedabad,gujarat,"3rd Floor, Samir Complex"
Swati Snacks,"Gandhi Baug Society, Law Garden, 13, Panchavati Rd, Opposite Nirman Bhavan, Ellisbridge, Ahmedabad, Gujarat 380006",swatisnacks.com,079 2640 5900,,4.4,restaurant,,ahmedabad,gujarat,"Gandhi Baug Society, Law Garden"
Prince Restaurant Naranpura Ahmedabad,"Shri Madhusudan Oza Marg, Krishnavan Society, Naranpura, Ahmedabad, Gujarat 380013",princerestaurant.in,095121 14446,,4.0,restaurant,,ahmedabad,gujarat,"Shri Madhusudan Oza Marg, Krishnavan Society"
Laziz Restaurant,"G-12 Shrushti Arcade Motera Stadium Road Aehmadabad, Chandkheda, Ahemdabad, Gujarat 380005",,087801 02408,,4.8,restaurant,,ahmedabad,gujarat,"G-12 Shrushti Arcade Motera Stadium Road Aehmadabad, Chandkheda"
Nini's Kitchen,"G-12 Shrushti Arcade Motera Stadium Road Aehmadabad, Chandkheda, Ahemdabad, Gujarat 380005",,087801 02408,,4.8,restaurant,,ahmedabad,gujarat,"G-12 Shrushti Arcade Motera Stadium Road Aehmadabad, Chandkheda"
HANDI RESTAURANT,"G-12 Shrushti Arcade Motera Stadium Road Aehmadabad, Chandkheda, Ahemdabad, Gujarat 380005",,087801 02408,,4.8,restaurant,,ahmedabad,gujarat,"G-12 Shrushti Arcade Motera Stadium Road Aehmadabad, Chandkheda"
Tent Rooftop Restro & Cafe | Anniversary Celebration | Birthday Celebration in Ahmedabad,"5th Floor, Shri Vardhman house, H.L, College Road, New Commercial Mills Staff Society, Navrangpura, Ahmedabad, Gujarat 380006",tentrooftoprestrocafe.com,084859 72118,,4.5,restaurant,,ahmedabad,gujarat,"5th Floor, Shri Vardhman house"
Prime Dine Restaurant,"2G99+JP3 Sachet-4, Prernatirth Derasar Rd, Opposite Satyam Complex, Jodhpur Village, Ahmedabad, Gujarat 380015",primedinebanquet.com,085117 27429,,4.2,restaurant,,ahmedabad,gujarat,"2G99+JP3 Sachet-4, Prernatirth Derasar Rd"
Cafe Piano,"2G99+JP3 Sachet-4, Prernatirth Derasar Rd, Opposite Satyam Complex, Jodhpur Village, Ahmedabad, Gujarat 380015",primedinebanquet.com,085117 27429,,4.2,restaurant,,ahmedabad,gujarat,"2G99+JP3 Sachet-4, Prernatirth Derasar Rd"
Tomato's,"Mardia Plaza, Ground Floor, 1, 2, 3, Chimanlal Girdharlal Rd, opp. रिलायंस हाउस, Near Associated Petrol Pump, Ellisbridge, Ahmedabad, Gujarat 380006",tomatos.co.in,079 2646 1998,,4.3,restaurant,,ahmedabad,gujarat,"Mardia Plaza, Ground Floor"
Ristretto Behind The Rods,"Mardia Plaza, Ground Floor, 1, 2, 3, Chimanlal Girdharlal Rd, opp. रिलायंस हाउस, Near Associated Petrol Pump, Ellisbridge, Ahmedabad, Gujarat 380006",tomatos.co.in,079 2646 1998,,4.3,restaurant,,ahmedabad,gujarat,"Mardia Plaza, Ground Floor"
Ambrosia Restaurant,"Mardia Plaza, Ground Floor, 1, 2, 3, Chimanlal Girdharlal Rd, opp. रिलायंस हाउस, Near Associated Petrol Pump, Ellisbridge, Ahmedabad, Gujarat 380006",tomatos.co.in,079 2646 1998,,4.3,restaurant,,ahmedabad,gujarat,"Mardia Plaza, Ground Floor"
Epicurean Alley,"1, Mahakavi Nhanalal Fly Overbridge, opposite Orient Club, near Gujarat College Road, Ellisbridge, Ahmedabad, Gujarat 380006",epicureanalley.com,096621 10170,,4.2,restaurant,,ahmedabad,gujarat,"1, Mahakavi Nhanalal Fly Overbridge"
Alpine Restaurant Banquet,"Rangoli Complex, Paldi Rd, opp. V.S. Hospital, Madalpur Gam, Ellisbridge, Ahmedabad, Gujarat 380006",alpinerestaurant.in,074330 17600,,4.0,restaurant,,ahmedabad,gujarat,"Rangoli Complex, Paldi Rd"
Honest Restaurant,"West Bank Opp Vallabh Sadan River front Road, Ashram Rd, opp. Citi Gold Cinema, Navrangpura, Ahmedabad, Gujarat 380009",honestrestaurant.com,099099 44420,,4.3,restaurant,,ahmedabad,gujarat,"West Bank Opp Vallabh Sadan River front Road, Ashram Rd"
Timpani,"Radisson Blu, Ellisbridge, Chimanlal Girdharlal Rd, Ambawadi, Ahmedabad, Gujarat 380006",radissonblu.com,079 4050 1234,,4.1,restaurant,,ahmedabad,gujarat,"Radisson Blu, Ellisbridge"
May Flower,"The Westend Hotel, Gujarat College Rd, opp. Inder Residency, Ellisbridge, Ahmedabad, Gujarat 380006",hotelthewestend.com,099988 86655,,4.1,restaurant,,ahmedabad,gujarat,"The Westend Hotel, Gujarat College Rd"
Nishat restaurant (ac)Since 1952,"The Westend Hotel, Gujarat College Rd, opp. Inder Residency, Ellisbridge, Ahmedabad, Gujarat 380006",hotelthewestend.com,099988 86655,,4.1,restaurant,,ahmedabad,gujarat,"The Westend Hotel, Gujarat College Rd"
TG'S -The Oriental Grill - Hyatt Ahmedabad,"The Westend Hotel, Gujarat College Rd, opp. Inder Residency, Ellisbridge, Ahmedabad, Gujarat 380006",hotelthewestend.com,099988 86655,,4.1,restaurant,,ahmedabad,gujarat,"The Westend Hotel, Gujarat College Rd"
Nutan Restaurant,"Shankar Chambers, Mirzapur Rd, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001",zomato.com,094085 47530,,4.3,restaurant,,ahmedabad,gujarat,"Shankar Chambers, Mirzapur Rd"
Jungle Bhookh Restaurant,"Shankar Chambers, Mirzapur Rd, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001",zomato.com,094085 47530,,4.3,restaurant,,ahmedabad,gujarat,"Shankar Chambers, Mirzapur Rd"
